model,lambda,max_corr,delta_mean,delta_end,delta_min,corr_mean,bmc_mean,payout_mean
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,0.75,0.5935101810336101,-0.011443585720756494,-1.785199372438013,-1.7861234132592598,0.021190131799765956,0.0007982458296603164,0.015589735470535061
xgb_strict_direct_smallfaith64_full_d5lr3e2_walkfwd,1.0,0.355838201795225,-0.01972813618376137,-3.0775892446667723,-3.0775892446667723,0.012905581336761078,0.0011809183637390636,0.010651804609518267
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.01,0.9999491688971657,-8.348076353662414e-05,-0.013022999111713366,-0.014461733309861963,0.032550236756985824,1.007543951983424e-05,0.024308523133589183
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.02,0.9997926705456316,-0.00021700557344229342,-0.03385286945699778,-0.03413968975424472,0.03241671194708016,1.715312563195179e-06,0.024186868701232135
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.03,0.9995243054525249,-0.00029591230175666486,-0.046162319074039705,-0.0465267629267872,0.03233780521876578,1.8035681976120798e-05,0.024161323093830695
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.04,0.9991376154952036,-0.00038211041223730913,-0.05960922430902024,-0.05996191516312417,0.03225160710828514,3.634947486378378e-05,0.024132970268385776
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.05,0.9986258813363651,-0.0004537000451487043,-0.07077720704319786,-0.071895671149126,0.03218001747537374,6.650793937292479e-05,0.024142848775984993
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.06,0.9979821209576082,-0.000552404064810055,-0.08617503411036852,-0.08787638616694732,0.03208131345571239,8.330255291326007e-05,0.024099238998654425
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.08,0.9962692804244805,-0.0007042031351953762,-0.10985568909047874,-0.11339610432034435,0.031929514385327075,0.00014647784615205822,0.02409851542697809
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.1,0.9939380152147904,-0.0009338537226393187,-0.14568118073173383,-0.150154677895445,0.03169986379788313,0.0001798537880495985,0.023938735050671192
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.12,0.9909232010086624,-0.001152332204475014,-0.17976382389810225,-0.18548786465070624,0.03148138531604744,0.0002325386582421879,0.023839170896819282
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.15,0.9849676458066647,-0.0015024433477883053,-0.23438116225497543,-0.24137363907254059,0.031131274172734147,0.00031616274315646783,0.02368244234130878
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.2,0.9706035754843961,-0.0021345473129427395,-0.3329893808190672,-0.3418894916886001,0.03049917020757971,0.0004842522007625773,0.023426064675327297
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.25,0.9496496149145832,-0.002867558438369866,-0.44733911638569895,-0.45818942506482674,0.029766159082152584,0.0006740617822391835,0.023104690614890393
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.3,0.9209365721132449,-0.003742912448768326,-0.583894342007859,-0.594143988459423,0.02889080507175412,0.0008686961369044808,0.022622363146772965
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.4,0.8367732092099556,-0.005910249545339812,-0.9219989290730105,-0.9317548109563798,0.026723467975182633,0.0013303819750670875,0.021465678590532063
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.5,0.7165792458618601,-0.00864819421949734,-1.3491182982415855,-1.3586959561805052,0.02398552330102511,0.0018518104151918652,0.019971317116218575
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,0.75,0.33901871883290313,-0.017364719039581995,-2.7088961701747927,-2.711917388475902,0.015268998480940451,0.002655041106226004,0.014818277795435484
xgb_strict_resid010_smallfaith64_full_d5lr3e2_walkfwd,1.0,0.027520324732889304,-0.028655029441504103,-4.470184592874635,-4.470184592874635,0.003978688079018349,0.003096829172708368,0.008141102247429607
xgb_strict_direct_faith96_full_d5lr3e2_walkfwd,0.01,0.999949836514092,-2.1458009010332797e-05,-0.003347449405611916,-0.0114265633415778,0.032612259511512115,3.0012277773941575e-06,0.024344182876804638
xgb_strict_direct_faith96_full_d5lr3e2_walkfwd,0.02,0.9997957532246153,-0.00011512461991440611,-0.017959440706647352,-0.019012110677697657,0.03251859290060804,-1.8330995209865258e-05,0.024232367571692278
xgb_strict_direct_faith96_full_d5lr3e2_walkfwd,0.03,0.9995322162656325,-0.0002127461279132541,-0.03318839595446763,-0.03318839595446763,0.03242097139260919,-3.647907440738712e-05,0.02412243353712725
xgb_strict_direct_faith96_full_d5lr3e2_walkfwd,0.04,0.9991534991945517,-0.00035760819549380033,-0.05578687849703288,-0.05578687849703288,0.03227610932502865,-7.615369143528522e-05,0.02393283732234412
xgb_strict_direct_faith96_full_d5lr3e2_walkfwd,0.05,0.9986536841021277,-0.0005001424738817287,-0.07802222592554967,-0.07802222592554967,0.03213357504664072,-0.00011260853853123456,0.023751818436412293
xgb_strict_direct_faith96_full_d5lr3e2_walkfwd,0.06,0.9980266637770648,-0.0006248032467006961,-0.0974693064853086,-0.0974693064853086,0.03200891427382175,-0.00013798014590809588,0.023595049469641492
xgb_strict_direct_faith96_full_d5lr3e2_walkfwd,0.08,0.9963656533648821,-0.0009173407040174786,-0.14310514982672667,-0.14310514982672667,0.03171637681650498,-0.00019795920103694812,0.023237072020500522
xgb_strict_direct_faith96_full_d5lr3e2_walkfwd,0.1,0.9941179841125238,-0.0012245868986554254,-0.1910355561902463,-0.1910355561902463,0.03140913062186702,-0.0002592357468942169,0.022852639519669118
xgb_strict_direct_faith96_full_d5lr3e2_walkfwd,0.12,0.9912285016608491,-0.0015178978462938668,-0.23679206402184322,-0.23679206402184322,0.031115819674228582,-0.0003061179340702523,0.022519535114261562
xgb_strict_direct_faith96_full_d5lr3e2_walkfwd,0.15,0.9855645669150996,-0.0019773895956201335,-0.3084727769167408,-0.3084727769167408,0.030656327924902315,-0.00037015006183175675,0.02203053117877843
xgb_strict_direct_faith96_full_d5lr3e2_walkfwd,0.2,0.9720777120472456,-0.0028288546211744834,-0.44130132090321916,-0.44130132090321916,0.029804862899347962,-0.0004765512257643802,0.021146233992192974
xgb_strict_direct_faith96_full_d5lr3e2_walkfwd,0.25,0.9527130839762958,-0.0037840746567978575,-0.590315646460466,-0.590315646460466,0.02884964286372459,-0.0005825161525093538,0.020128938448299296
xgb_strict_direct_faith96_full_d5lr3e2_walkfwd,0.3,0.9266063712978666,-0.004814362584660454,-0.7510405632070309,-0.7510405632070309,0.027819354935861993,-0.0006677257434300357,0.019003758385715937
xgb_strict_direct_faith96_full_d5lr3e2_walkfwd,0.4,0.8517021147792386,-0.007203767740100318,-1.12378776745565,-1.12378776745565,0.02542994978042213,-0.0007823256434589691,0.01649523433716233
